,0,1
0,n0,"(17, 2.0, 19.0)"
1,n1,"(15, 4.0, 19.0)"
2,n2,"(16, 2.0, 18.0)"
3,n3,"(1, 2.0, 3.0)"
4,n4,"(5, 2.0, 7.0)"
5,n5,"(17, 2.0, 19.0)"
6,n6,"(12, 2.0, 14.0)"
7,n7,"(6, 4.0, 10.0)"
8,n8,"(6, 2.0, 8.0)"
9,n9,"(11, 2.0, 13.0)"
10,n10,"(12, 2.0, 14.0)"
11,n11,"(17, 2.0, 19.0)"
12,n12,"(18, 2.0, 20.0)"
13,n13,"(1, 4.0, 5.0)"
14,n14,"(0, 2.0, 2.0)"
15,n15,"(13, 4.0, 17.0)"
16,n16,"(12, 2.0, 14.0)"
17,n17,"(10, 1.0, 11.0)"
18,n18,"(3, 1.0, 4.0)"
19,n19,"(0, 1.0, 1.0)"
20,n20,"(12, 2.0, 14.0)"
21,n21,"(3, 4.0, 7.0)"
22,n22,"(14, 4.0, 18.0)"
23,n23,"(11, 2.0, 13.0)"
24,n24,"(3, 2.0, 5.0)"
25,n25,"(12, 1.0, 13.0)"
26,n26,"(1, 4.0, 5.0)"
27,n27,"(4, 2.0, 6.0)"
28,n28,"(18, 2.0, 20.0)"
29,n29,"(12, 2.0, 14.0)"
30,n30,"(9, 1.0, 10.0)"
31,n31,"(1, 2.0, 3.0)"
32,n32,"(3, 4.0, 7.0)"
33,n33,"(16, 4.0, 20.0)"
34,n34,"(19, 1.0, 20.0)"
35,n35,"(1, 2.0, 3.0)"
36,n36,"(13, 4.0, 17.0)"
37,n37,"(18, 1.0, 19.0)"
38,n38,"(10, 4.0, 14.0)"
39,n39,"(19, 1.0, 20.0)"
40,n40,"(7, 4.0, 11.0)"
41,n41,"(2, 4.0, 6.0)"
42,n42,"(14, 2.0, 16.0)"
43,n43,"(0, 2.0, 2.0)"
44,n44,"(8, 4.0, 12.0)"
45,n45,"(4, 4.0, 8.0)"
46,n46,"(6, 4.0, 10.0)"
47,n47,"(8, 4.0, 12.0)"
48,n48,"(5, 4.0, 9.0)"
49,n49,"(11, 1.0, 12.0)"
50,n50,"(0, 2.0, 2.0)"
51,n51,"(15, 4.0, 19.0)"
52,n52,"(13, 2.0, 15.0)"
53,n53,"(2, 4.0, 6.0)"
54,n54,"(5, 2.0, 7.0)"
55,n55,"(10, 2.0, 12.0)"
56,n56,"(9, 4.0, 13.0)"
57,n57,"(10, 4.0, 14.0)"
58,n58,"(14, 2.0, 16.0)"
59,n59,"(9, 2.0, 11.0)"
60,n60,"(3, 1.0, 4.0)"
61,n61,"(3, 4.0, 7.0)"
62,n62,"(8, 2.0, 10.0)"
63,n63,"(16, 4.0, 20.0)"
64,n64,"(5, 2.0, 7.0)"
65,n65,"(1, 1.0, 2.0)"
66,n66,"(9, 4.0, 13.0)"
67,n67,"(4, 4.0, 8.0)"
68,n68,"(0, 2.0, 2.0)"
69,n69,"(0, 1.0, 1.0)"
70,n70,"(8, 2.0, 10.0)"
71,n71,"(12, 4.0, 16.0)"
72,n72,"(13, 1.0, 14.0)"
73,n73,"(6, 4.0, 10.0)"
74,n74,"(15, 2.0, 17.0)"
75,n75,"(16, 4.0, 20.0)"
76,n76,"(4, 2.0, 6.0)"
77,n77,"(17, 2.0, 19.0)"
78,n78,"(9, 4.0, 13.0)"
79,n79,"(16, 4.0, 20.0)"
80,n80,"(5, 4.0, 9.0)"
81,n81,"(13, 2.0, 15.0)"
82,n82,"(2, 2.0, 4.0)"
83,n83,"(4, 2.0, 6.0)"
84,n84,"(11, 2.0, 13.0)"
85,n85,"(17, 2.0, 19.0)"
86,n86,"(19, 1.0, 20.0)"
87,n87,"(12, 2.0, 14.0)"
88,n88,"(11, 2.0, 13.0)"
89,n89,"(1, 2.0, 3.0)"
90,n90,"(3, 1.0, 4.0)"
91,n91,"(8, 4.0, 12.0)"
92,n92,"(4, 2.0, 6.0)"
93,n93,"(10, 2.0, 12.0)"
94,n94,"(14, 4.0, 18.0)"
95,n95,"(14, 2.0, 16.0)"
96,n96,"(4, 2.0, 6.0)"
97,n97,"(1, 2.0, 3.0)"
98,n98,"(10, 2.0, 12.0)"
99,n99,"(16, 1.0, 17.0)"
